 time            V_out           V_in            V_c2           
 1.53280000e-07  2.13475119e-01  8.84547234e-02  4.50922331e+00 
 1.54280000e-07  2.15685671e-01  8.90669635e-02  4.51143410e+00 
 1.55280000e-07  2.17899666e-01  8.96798393e-02  4.51364834e+00 
 1.56280000e-07  2.20117108e-01  9.02933229e-02  4.51586602e+00 
 1.57280000e-07  2.22337998e-01  9.09073884e-02  4.51808716e+00 
 1.58280000e-07  2.24562334e-01  9.15220064e-02  4.52031174e+00 
 1.59280000e-07  2.26790114e-01  9.21371495e-02  4.52253976e+00 
 1.60280000e-07  2.29021330e-01  9.27527869e-02  4.52477123e+00 
 1.61280000e-07  2.31255972e-01  9.33688906e-02  4.52700611e+00 
 1.62280000e-07  2.33494028e-01  9.39854289e-02  4.52924442e+00 
 1.63280000e-07  2.35735484e-01  9.46023732e-02  4.53148612e+00 
 1.64280000e-07  2.37980322e-01  9.52196919e-02  4.53373121e+00 
 1.65280000e-07  2.40228522e-01  9.58373560e-02  4.53597966e+00 
 1.66280000e-07  2.42480063e-01  9.64553341e-02  4.53823145e+00 
 1.67280000e-07  2.44734917e-01  9.70735976e-02  4.54048655e+00 
 1.68280000e-07  2.46993060e-01  9.76921156e-02  4.54274494e+00 
 1.69280000e-07  2.49254460e-01  9.83108601e-02  4.54500659e+00 
 1.70280000e-07  2.51519086e-01  9.89298010e-02  4.54727147e+00 
 1.71280000e-07  2.53786904e-01  9.95489113e-02  4.54953954e+00 
 1.72280000e-07  2.56057878e-01  1.00168162e-01  4.55181077e+00 
 1.73280000e-07  2.58331970e-01  1.00787527e-01  4.55408511e+00 
 1.74280000e-07  2.60609140e-01  1.01406980e-01  4.55636254e+00 
 1.75280000e-07  2.62889346e-01  1.02026494e-01  4.55864300e+00 
 1.76280000e-07  2.65172546e-01  1.02646045e-01  4.56092645e+00 
 1.77280000e-07  2.67458693e-01  1.03265610e-01  4.56321285e+00 
 1.78280000e-07  2.69747742e-01  1.03885164e-01  4.56550216e+00 
 1.79280000e-07  2.72039646e-01  1.04504687e-01  4.56779432e+00 
 1.80280000e-07  2.74334355e-01  1.05124154e-01  4.57008929e+00 
 1.81280000e-07  2.76631818e-01  1.05743549e-01  4.57238701e+00 
 1.82280000e-07  2.78931986e-01  1.06362849e-01  4.57468743e+00 
 1.83280000e-07  2.81234807e-01  1.06982038e-01  4.57699051e+00 
 1.84280000e-07  2.83540226e-01  1.07601096e-01  4.57929619e+00 
 1.85280000e-07  2.85848191e-01  1.08220010e-01  4.58160441e+00 
 1.86280000e-07  2.88158649e-01  1.08838761e-01  4.58391513e+00 
 1.87280000e-07  2.90471543e-01  1.09457337e-01  4.58622828e+00 
 1.88280000e-07  2.92786819e-01  1.10075723e-01  4.58854382e+00 
 1.89280000e-07  2.95104423e-01  1.10693908e-01  4.59086169e+00 
 1.90280000e-07  2.97424298e-01  1.11311879e-01  4.59318182e+00 
 1.91280000e-07  2.99746389e-01  1.11929627e-01  4.59550418e+00 
 1.92280000e-07  3.02070640e-01  1.12547141e-01  4.59782869e+00 
 1.93280000e-07  3.04396996e-01  1.13164413e-01  4.60015531e+00 
 1.94280000e-07  3.06725401e-01  1.13781435e-01  4.60248398e+00 
 1.95280000e-07  3.09055800e-01  1.14398202e-01  4.60481464e+00 
 1.96280000e-07  3.11388139e-01  1.15014705e-01  4.60714724e+00 
 1.97280000e-07  3.13722363e-01  1.15630942e-01  4.60948173e+00 
 1.98280000e-07  3.16058417e-01  1.16246907e-01  4.61181805e+00 
 1.99280000e-07  3.18396250e-01  1.16862597e-01  4.61415615e+00 
 2.00280000e-07  3.20735807e-01  1.17478009e-01  4.61649597e+00 
 2.01280000e-07  3.23077036e-01  1.18093143e-01  4.61883747e+00 
 2.02280000e-07  3.25419887e-01  1.18707995e-01  4.62118059e+00 
 2.03280000e-07  3.27764307e-01  1.19322567e-01  4.62352527e+00 
 2.04280000e-07  3.30110248e-01  1.19936857e-01  4.62587148e+00 
 2.05280000e-07  3.32457661e-01  1.20550868e-01  4.62821916e+00 
 2.06280000e-07  3.34806496e-01  1.21164600e-01  4.63056827e+00 
 2.07280000e-07  3.37156707e-01  1.21778055e-01  4.63291875e+00 
 2.08280000e-07  3.39508248e-01  1.22391236e-01  4.63527056e+00 
 2.09280000e-07  3.41861073e-01  1.23004147e-01  4.63762365e+00 
 2.10280000e-07  3.44215139e-01  1.23616789e-01  4.63997798e+00 
 2.11280000e-07  3.46570401e-01  1.24229168e-01  4.64233352e+00 
 2.12280000e-07  3.48926818e-01  1.24841287e-01  4.64469020e+00 
 2.13280000e-07  3.51284349e-01  1.25453152e-01  4.64704801e+00 
 2.14280000e-07  3.53642954e-01  1.26064766e-01  4.64940688e+00 
 2.15280000e-07  3.56002594e-01  1.26676136e-01  4.65176679e+00 
 2.16280000e-07  3.58363231e-01  1.27287267e-01  4.65412770e+00 
 2.17280000e-07  3.60724829e-01  1.27898165e-01  4.65648957e+00 
 2.18280000e-07  3.63087353e-01  1.28508835e-01  4.65885237e+00 
 2.19280000e-07  3.65450768e-01  1.29119285e-01  4.66121606e+00 
 2.20280000e-07  3.67815041e-01  1.29729520e-01  4.66358060e+00 
 2.21280000e-07  3.70180140e-01  1.30339547e-01  4.66594598e+00 
 2.22280000e-07  3.72546034e-01  1.30949372e-01  4.66831214e+00 
 2.23280000e-07  3.74912693e-01  1.31559003e-01  4.67067908e+00 
 2.24280000e-07  3.77280089e-01  1.32168446e-01  4.67304675e+00 
 2.25280000e-07  3.79648193e-01  1.32777707e-01  4.67541513e+00 
 2.26280000e-07  3.82016981e-01  1.33386793e-01  4.67778419e+00 
 2.27280000e-07  3.84386425e-01  1.33995712e-01  4.68015391e+00 
 2.28280000e-07  3.86756501e-01  1.34604470e-01  4.68252426e+00 
 2.29280000e-07  3.89127187e-01  1.35213074e-01  4.68489522e+00 
 2.30280000e-07  3.91498459e-01  1.35821529e-01  4.68726677e+00 
 2.31280000e-07  3.93870295e-01  1.36429844e-01  4.68963888e+00 
 2.32280000e-07  3.96242677e-01  1.37038024e-01  4.69201154e+00 
 2.33280000e-07  3.98615583e-01  1.37646075e-01  4.69438472e+00 
 2.34280000e-07  4.00988995e-01  1.38254005e-01  4.69675841e+00 
 2.35280000e-07  4.03362895e-01  1.38861818e-01  4.69913259e+00 
 2.36280000e-07  4.05737267e-01  1.39469521e-01  4.70150724e+00 
 2.37280000e-07  4.08112093e-01  1.40077120e-01  4.70388234e+00 
 2.38280000e-07  4.10487358e-01  1.40684619e-01  4.70625789e+00 
 2.39280000e-07  4.12863049e-01  1.41292026e-01  4.70863386e+00 
 2.40280000e-07  4.15239150e-01  1.41899344e-01  4.71101024e+00 
 2.41280000e-07  4.17615649e-01  1.42506579e-01  4.71338702e+00 
 2.42280000e-07  4.19992532e-01  1.43113735e-01  4.71576418e+00 
 2.43280000e-07  4.22369789e-01  1.43720818e-01  4.71814172e+00 
 2.44280000e-07  4.24747407e-01  1.44327831e-01  4.72051961e+00 
 2.45280000e-07  4.27125376e-01  1.44934780e-01  4.72289786e+00 
 2.46280000e-07  4.29503686e-01  1.45541667e-01  4.72527645e+00 
 2.47280000e-07  4.31882327e-01  1.46148497e-01  4.72765537e+00 
 2.48280000e-07  4.34261289e-01  1.46755272e-01  4.73003462e+00 
 2.49280000e-07  4.36640565e-01  1.47361998e-01  4.73241418e+00 
 2.50280000e-07  4.39020145e-01  1.47968675e-01  4.73479404e+00 
 2.51280000e-07  4.41400023e-01  1.48575309e-01  4.73717420e+00 
 2.52280000e-07  4.43780189e-01  1.49181900e-01  4.73955465e+00 
 2.53280000e-07  4.46160639e-01  1.49788453e-01  4.74193538e+00 
 2.54280000e-07  4.48541363e-01  1.50394967e-01  4.74431639e+00 
 2.55280000e-07  4.50922357e-01  1.51001447e-01  4.74669766e+00 
 2.56280000e-07  4.53303614e-01  1.51607894e-01  4.74907920e+00 
 2.57280000e-07  4.55685128e-01  1.52214309e-01  4.75146100e+00 
 2.58280000e-07  4.58066893e-01  1.52820694e-01  4.75384305e+00 
 2.59280000e-07  4.60448904e-01  1.53427050e-01  4.75622534e+00 
 2.60280000e-07  4.62831156e-01  1.54033378e-01  4.75860788e+00 
 2.61280000e-07  4.65213644e-01  1.54639679e-01  4.76099065e+00 
 2.62280000e-07  4.67596362e-01  1.55245954e-01  4.76337366e+00 
 2.63280000e-07  4.69979307e-01  1.55852203e-01  4.76575689e+00 
 2.64280000e-07  4.72362472e-01  1.56458427e-01  4.76814034e+00 
 2.65280000e-07  4.74745855e-01  1.57064626e-01  4.77052401e+00 
